Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,162,"b; b; rw; rfz; rf; rwz; rfz; b; rs; rfz; rf; rs; rw; rwz; st; rw; st; b; st; rwz;",546.81,181.39,98826
simple_spi_orig,163,"st; rf; rw; rf; rw; rfz; rs; rf; f; rw; rwz; rs; rs; b; rwz; rfz; b; rfz; rs; rfz;",551.56,203.04,111853
simple_spi_orig,164,"b; rw; st; rf; f; st; rs; f; f; rs; b; rs; rwz; rwz; rw; f; st; b; rwz; rwz;",537.29,185.97,99345
simple_spi_orig,165,"b; rwz; rfz; rf; st; rs; rs; b; rwz; st; rf; b; rf; rw; st; rw; rfz; rfz; rfz; rwz;",552.22,184.42,101568
simple_spi_orig,166,"b; rw; b; b; rwz; rw; rfz; rfz; rwz; rw; rs; rw; rw; rfz; b; rf; rs; rw; rwz; rs;",556.80,183.82,101748
simple_spi_orig,167,"b; f; rf; st; rwz; b; f; b; rf; rs; rfz; rs; rs; rfz; st; f; rfz; rfz; rs; f;",547.30,203.11,111041
simple_spi_orig,168,"st; f; rs; f; rf; rw; rw; f; b; rw; rwz; rs; rw; f; rwz; f; rwz; rwz; rs; f;",547.62,185.97,101195
simple_spi_orig,169,"b; f; rwz; b; rw; f; st; rs; rs; b; rf; rf; rfz; rs; st; rs; rwz; rw; f; rw;",545.93,184.83,100280
simple_spi_orig,170,"st; rfz; rwz; f; rwz; rfz; st; f; rwz; st; st; rwz; rf; st; rfz; f; rw; st; rs; b;",553.64,198.45,109494
simple_spi_orig,171,"b; rf; rs; rw; rf; rf; rfz; rfz; rf; rf; rf; b; rfz; rwz; rfz; rs; rs; f; b; rfz;",544.38,203.04,110432
