Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
pci_orig.bench,295,11659.17,417.10,4861803
pci_orig.bench,296,11357.63,614.77,6973198
pci_orig.bench,297,11617.86,473.72,5494841
pci_orig.bench,298,11692.63,417.99,4875564
pci_orig.bench,299,11697.85,452.59,5287044
pci_orig.bench,300,11765.75,425.83,5000125
pci_orig.bench,301,11208.17,614.62,6881712
pci_orig.bench,302,11437.97,451.77,5158087
pci_orig.bench,303,11544.96,441.07,5090904
pci_orig.bench,304,11886.44,410.43,4873260
pci_orig.bench,305,11632.18,444.83,5164608
pci_orig.bench,306,11530.14,469.42,5407570
pci_orig.bench,307,11934.93,427.93,5095818
pci_orig.bench,308,11450.71,419.50,4797550
pci_orig.bench,309,11836.44,449.63,5314364
pci_orig.bench,310,11263.82,564.33,6352332
pci_orig.bench,311,11993.98,451.36,5408843
pci_orig.bench,312,12221.32,426.05,5206146
pci_orig.bench,313,11995.52,451.21,5409745
pci_orig.bench,314,11730.02,435.02,5102550
pci_orig.bench,315,11123.93,613.97,6818399
pci_orig.bench,316,11768.60,422.67,4966096
pci_orig.bench,317,11605.73,434.85,5036570
pci_orig.bench,318,11843.21,431.07,5104333
pci_orig.bench,319,11554.62,414.47,4783356
pci_orig.bench,320,11872.14,420.48,4986240
pci_orig.bench,321,11822.52,451.57,5331722
pci_orig.bench,322,11813.67,419.95,4949647
pci_orig.bench,323,12036.59,439.81,5283804
pci_orig.bench,324,11548.63,421.21,4861708
pci_orig.bench,325,11683.53,439.59,5128837
pci_orig.bench,326,11639.58,417.65,4853463
pci_orig.bench,327,11662.35,473.72,5516126
pci_orig.bench,328,12020.80,425.64,5108500
pci_orig.bench,329,11746.48,451.79,5297446
pci_orig.bench,330,11627.19,436.45,5069372
pci_orig.bench,331,11166.39,627.60,7001082
